,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
0,Rich Flex,Her Loss,drake,2022-11-04,239360,88,0.561,0.0503,0.52,1.86e-06,0.355,-9.342,0.244,0.424,153.15
1,Major Distribution,Her Loss,drake,2022-11-04,170502,87,0.908,0.0127,0.546,0.0,0.0707,-10.491,0.323,0.225,131.016
2,On BS,Her Loss,drake,2022-11-04,261544,86,0.841,0.0201,0.358,0.0,0.39,-8.368,0.591,0.329,158.014
3,BackOutsideBoyz,Her Loss,drake,2022-11-04,152962,84,0.849,0.0407,0.433,0.0,0.388,-8.434,0.316,0.395,142.11
4,Privileged Rappers,Her Loss,drake,2022-11-04,160821,84,0.934,0.00274,0.614,0.0,0.123,-7.384,0.198,0.616,144.045
5,Spin Bout U,Her Loss,drake,2022-11-04,214589,84,0.773,0.01,0.701,0.0,0.163,-6.386,0.0512,0.203,129.963
6,Hours In Silence,Her Loss,drake,2022-11-04,399154,83,0.501,0.234,0.403,0.0,0.267,-11.106,0.119,0.111,118.352
7,Treacherous Twins,Her Loss,drake,2022-11-04,180098,82,0.746,0.0782,0.517,0.0,0.137,-7.582,0.327,0.609,88.987
8,Circo Loco,Her Loss,drake,2022-11-04,236795,85,0.734,0.0102,0.605,0.0,0.317,-8.476,0.0699,0.252,103.976
9,Pussy & Millions (feat. Travis Scott),Her Loss,drake,2022-11-04,242027,86,0.749,0.0623,0.63,0.0,0.353,-6.652,0.116,0.445,122.03
10,Broke Boys,Her Loss,drake,2022-11-04,225439,83,0.642,0.0104,0.533,0.000108,0.251,-7.45,0.266,0.112,120.041
11,Middle of the Ocean,Her Loss,drake,2022-11-04,356389,82,0.466,0.18,0.703,0.0,0.422,-5.774,0.393,0.25,76.815
12,Jumbotron Shit Poppin,Her Loss,drake,2022-11-04,137151,81,0.799,0.221,0.575,0.0,0.196,-6.257,0.282,0.319,99.026
13,More M’s,Her Loss,drake,2022-11-04,221406,81,0.704,0.0405,0.504,0.000422,0.139,-6.749,0.223,0.0713,82.537
14,3AM on Glenwood,Her Loss,drake,2022-11-04,178329,79,0.475,0.0533,0.692,6.49e-06,0.18,-8.327,0.398,0.241,181.167
15,I Guess It’s Fuck Me,Her Loss,drake,2022-11-04,263988,79,0.385,0.499,0.34,1.2e-05,0.196,-11.754,0.051,0.0398,83.947
16,Intro,"Honestly, Nevermind",drake,2022-06-17,36935,61,0.193,0.955,0.0218,0.88,0.117,-31.16,0.0389,0.213,125.501
17,Falling Back,"Honestly, Nevermind",drake,2022-06-17,266179,69,0.718,0.238,0.758,0.00653,0.11,-8.29,0.0703,0.349,118.989
18,Texts Go Green,"Honestly, Nevermind",drake,2022-06-17,308820,68,0.765,0.000916,0.627,0.195,0.0847,-4.607,0.0622,0.536,118.997
19,Currents,"Honestly, Nevermind",drake,2022-06-17,157390,67,0.883,0.104,0.283,0.00167,0.0935,-12.653,0.113,0.416,122.013
20,A Keeper,"Honestly, Nevermind",drake,2022-06-17,173097,71,0.6,0.512,0.482,0.000104,0.115,-11.596,0.0701,0.323,121.909
21,Calling My Name,"Honestly, Nevermind",drake,2022-06-17,129965,68,0.826,0.62,0.276,8.53e-05,0.118,-11.227,0.266,0.484,123.985
22,Sticky,"Honestly, Nevermind",drake,2022-06-17,243228,81,0.853,0.0917,0.495,0.000217,0.0844,-14.63,0.14,0.0774,137.027
23,Massive,"Honestly, Nevermind",drake,2022-06-17,336924,76,0.499,0.114,0.671,0.0169,0.148,-6.774,0.0561,0.0557,124.994
24,Flight's Booked,"Honestly, Nevermind",drake,2022-06-17,254407,67,0.593,0.886,0.41,0.0993,0.115,-13.097,0.0531,0.201,122.584
25,Overdrive,"Honestly, Nevermind",drake,2022-06-17,202451,64,0.502,0.444,0.645,0.00964,0.107,-10.611,0.122,0.518,109.739
26,Down Hill,"Honestly, Nevermind",drake,2022-06-17,250865,61,0.718,0.965,0.319,0.00036,0.0895,-11.261,0.0435,0.639,109.994
27,Tie That Binds,"Honestly, Nevermind",drake,2022-06-17,336005,63,0.775,0.0176,0.688,0.0917,0.108,-10.912,0.0593,0.284,120.017
28,Liability,"Honestly, Nevermind",drake,2022-06-17,237933,66,0.557,0.268,0.706,0.0,0.132,-6.592,0.0649,0.582,105.013
29,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",drake,2022-06-17,218365,90,0.529,0.000307,0.673,2.41e-06,0.093,-4.711,0.175,0.366,165.921
30,Champagne Poetry,Certified Lover Boy,drake,2021-09-03,336511,76,0.423,0.758,0.667,0.0,0.246,-7.012,0.326,0.496,86.743
31,Papi’s Home,Certified Lover Boy,drake,2021-09-03,178623,69,0.701,0.112,0.741,0.0,0.699,-6.157,0.313,0.588,140.177
32,Girls Want Girls (with Lil Baby),Certified Lover Boy,drake,2021-09-03,221980,78,0.767,0.181,0.438,0.0,0.142,-8.726,0.29,0.381,86.975
33,In The Bible (with Lil Durk & Giveon),Certified Lover Boy,drake,2021-09-03,296568,70,0.686,0.614,0.385,0.0,0.131,-8.35,0.297,0.147,143.07
34,Love All (with JAY-Z),Certified Lover Boy,drake,2021-09-03,228461,71,0.73,0.354,0.576,3.59e-05,0.15,-5.442,0.287,0.155,92.131
35,Fair Trade (with Travis Scott),Certified Lover Boy,drake,2021-09-03,291175,82,0.666,0.0503,0.465,0.0,0.215,-8.545,0.26,0.292,167.937
36,Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,drake,2021-09-03,257605,79,0.803,0.000619,0.597,4.5e-06,0.323,-6.035,0.141,0.331,136.008
37,TSU,Certified Lover Boy,drake,2021-09-03,308756,72,0.568,0.228,0.56,3.05e-06,0.39,-9.059,0.42,0.246,130.019
38,N 2 Deep,Certified Lover Boy,drake,2021-09-03,273578,68,0.507,0.0518,0.429,0.0,0.109,-7.726,0.326,0.0744,91.0
